key	text	tooltip
#Loc PackedFile;1;text/db/land_enc_and_poi_incidents.loc		
incidents_localised_title_land_enc_incident_tomb_robbing	Hidden Tomb	false
incidents_localised_description_land_enc_incident_tomb_robbing	While traversing the inhabited wilderness, one of your soldiers fell through a crack in the ground. While sending others through the now opened crack to rescue him, the soldiers below get excited: it’s a big underground tomb! More soldiers go underground to take what is still useful for the benefit of our people.	false
incidents_localised_title_land_enc_incident_abandoned_camp	Abandoned Camp	false
incidents_localised_description_land_enc_incident_abandoned_camp	After a long march in the middle of the night, the army vanguard finds an abandoned camp hidden between some mountains. The camp is already set and has plenty of supplies and comfortable bedrolls already laid down. You make some soldiers taste the supplies and check the camp for traps but there seems to be no problem whatsoever. Your army prepares for a relaxing and welcomed rest.	false
incidents_localised_title_land_enc_incident_buried_relics	Buried Relics	false
incidents_localised_description_land_enc_incident_buried_relics	A strange chittering noise is heard by the soldiers while passing the administrative building in an abandoned village. Upon further inspection an underground passage is discovered beneath the floor of the central building. A small team inspect the passage, finding a cache of goods hidden in a small room. They say the tunnels descend further, but the lord believes that to search further is unnecessary, as the sudden silence is too revealing. There are secrets better left alone…	false
incidents_localised_title_land_enc_incident_hidden_temple	Hidden Temple	false
incidents_localised_description_land_enc_incident_hidden_temple	While traversing the ruins of an old city, the army finds a temple of their god, that seems to be untouched by time. The lord and his retinue enter to pray for a night and day. After they leave the holy site, a blessed sensation fills the army with renewed vigor.	false
incidents_localised_title_land_enc_incident_caravan_remnants	Caravan Remnants	false
incidents_localised_description_land_enc_incident_caravan_remnants	A cloud of smoke can be seen not far away from the army encampment. A group of soldiers is sent quickly to inspect the cause of the fire. They found a caravan recently attacked but not completely sacked. Beastmen and Cathayans bodies were littered through the plain. There were no survivors. Whatever was salvageable was retrieved back to the quartermaster to make available for the usage of the army.	false
incidents_localised_title_land_enc_incident_legendary_bard	Legendary Bard Rescued	false
incidents_localised_description_land_enc_incident_legendary_bard	While marching through the rode, a desperate horseman requests the army follows him and protects his small village from a slaver raid. The army manages to get there in time and as the slavers are put through the sword and prisoners liberated, one of the prisoners offers a song to the lord. Enchanting and extremely talented the bard is recognized but most of the soldiers as a really famous musician of the realm. The bard goes its merry way thanking you and telling your lord a new song about them will join its repertoire.	false
incidents_localised_title_land_enc_incident_whispers_of_the_gods	Whispers Of Our God	false
incidents_localised_description_land_enc_incident_whispers_of_the_gods	While traversing the land the lord suddenly feels tired of the road and decides that the army must camp for the night. While dreaming, the dream becomes vivid and god materializes in the dream. With words of courage and power it inspires the lord. The lord spokes this to the men, making them feel that they can beat anyone and anything in their path.	false
incidents_localised_title_land_enc_incident_battle_won_skirmish	Friendly Training	false
incidents_localised_description_land_enc_incident_battle_won_skirmish	The men of the two armies lie mixed and weary all around the field, but smiling and content. They gather all night around campfires and celebrate the skirmish without caring about the winner. In the morning the general greets you and thanks you. They will continue on their way with their spirits high and ready to face whatever comes their way.\\n	false
incidents_localised_title_land_enc_incident_battle_avoided_skirmish	A Friendly Proposal Rejected	false
