id	choice_key	dilemma_key	payload_key	value	target_key
#cdir_events_dilemma_payloads_tables;0;db/cdir_events_dilemma_payloads_tables/land_encounters_and_points_of_interest					
7017900554	FIRST	land_enc_dilemma_skirmish_cth	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900555	SECOND	land_enc_dilemma_skirmish_cth	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900556	FIRST	land_enc_dilemma_skirmish_kis	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900557	SECOND	land_enc_dilemma_skirmish_kis	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900558	FIRST	land_enc_dilemma_skirmish_ogr	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900559	SECOND	land_enc_dilemma_skirmish_ogr	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900560	FIRST	land_enc_dilemma_skirmish_nur	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900561	SECOND	land_enc_dilemma_skirmish_nur	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900562	FIRST	land_enc_dilemma_skirmish_tze	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900563	SECOND	land_enc_dilemma_skirmish_tze	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900564	FIRST	land_enc_dilemma_underground_cth	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900565	SECOND	land_enc_dilemma_underground_cth	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900566	FIRST	land_enc_dilemma_underground_kis	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900567	SECOND	land_enc_dilemma_underground_kis	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900568	FIRST	land_enc_dilemma_underground_ogr	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900569	SECOND	land_enc_dilemma_underground_ogr	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900570	FIRST	land_enc_dilemma_underground_tze	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900571	SECOND	land_enc_dilemma_underground_tze	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
7017900572	FIRST	land_enc_dilemma_bandits_emp	TEXT_DISPLAY	LOOKUP[dummy_wh2_dlc11_neo_counter_fight_chance]	default
7017900573	SECOND	land_enc_dilemma_bandits_emp	TEXT_DISPLAY	LOOKUP[dummy_do_nothing]	default
